mrc,lat,lng
Abitibi,48.5719208,-78.1159362
Matawinie,46.3360502,-73.48466800000001
Les Moulins,45.7153597,-73.6981163
L'Assomption,45.8519896,-73.4123978
Joliette,46.0232315,-73.442545
D'Autray,46.0860227,-73.1831349
Montcalm,46.802856,-71.2327687
La Rivière-du-Nord,45.7786447,-74.00380369999999
Deux-Montagnes,45.5412324,-73.9012071
Argenteuil,45.6529174,-74.3401185
Antoine-Labelle,46.5504374,-75.4960277
Bonaventure,48.0714344,-65.4528954
Avignon,47.9359939,-67.2494282
Memphrémagog,45.2666232,-72.14896879999999
Les Sources,45.77410829999999,-71.9367031
Le Val-Saint-François,45.6621657,-72.14352339999999
Le Rocher-Percé,48.3496203,-64.6774926
Témiscamingue,46.718235,-79.10011999999999
La Haute-Gaspésie,49.1261513,-66.4843577
La Côte-de-Gaspé,48.8316987,-64.4837545
La Mitis,48.5865658,-68.18874149999999
Les Laurentides,46.11507539999999,-74.4822662
Les Maskoutains,45.6355127,-72.9658857
Les Jardins-de-Napierville,45.1893281,-73.40669439999999
Le Haut-Saint-Laurent,45.0880137,-74.1743978
Le Haut-Richelieu,45.3092092,-73.2647266
La Vallée-du-Richelieu,45.4409329,-73.3015945
Marguerite-D'Youville,45.776537,-73.3563947
Rouville,45.4310348,-73.0538012
Roussillon,45.38690219999999,-73.5578502
Pierre-De Saurel,46.027682,-73.1171342
Abitibi-Ouest,48.8064999,-79.20030299999999
Les Chenaux,46.5636893,-72.4707591
Thérèse-De Blainville,45.6470447,-73.8516605
Les Pays-d'en-Haut,45.8957045,-74.1564965
La Vallée-de-l'Or,48.1045412,-77.794575
Beauharnois-Salaberry,45.31468539999999,-73.8785342
Acton,45.6469477,-72.5640458
Mékinac,46.8156109,-72.5055575
Maskinongé,46.2555552,-72.9480023
Le Haut-Saint-François,45.41239830000001,-71.62917259999999
Bécancour,46.3506215,-72.4350552
Arthabaska,46.0584135,-71.95024839999999
Drummond,45.8802909,-72.4842824
Portneuf,46.6984528,-71.8910008
La Jacques-Cartier,47.0401652,-71.3296191
La Côte-de-Beaupré,47.0446041,-70.8948119
Beauce-Centre,46.2111563,-70.7746149
La Matanie,48.8445231,-67.53059259999999
Nicolet-Yamaska,46.2273965,-72.6191642
L'Érable,46.2152696,-71.7675406
La Matapédia,48.3663339,-67.2344701
Rivière-du-Loup,47.83124369999999,-69.5360187
Rimouski-Neigette,48.4484416,-68.5232757
Les Basques,48.1252874,-69.1753457
Témiscouata,47.6826213,-68.8766234
L'Île-d'Orléans,46.9048301,-70.9309143
Charlevoix-Est,47.69155569999999,-70.2265541
Charlevoix,47.4412031,-70.50539909999999
Beauce-Sartigan,46.1228434,-70.6703685
Sept-Rivières,50.21331989999999,-66.3758105
Kamouraska,47.566059,-69.865995
Minganie,50.291457,-64.023161
Manicouagan,50.64941,-68.752037
Le Golfe-du-Saint-Laurent,50.4703263,-59.6136031
Brome-Missisquoi,45.2054669,-72.7466622
Le Granit,45.5725999,-70.8803538
La Haute-Yamaska,45.4046916,-72.7365667
Coaticook,45.1325529,-71.80318849999999
La Haute-Côte-Nord,48.3496853,-69.4068807
Les Appalaches,,
La Nouvelle-Beauce,46.47042,-71.0353209
L'Islet,47.10323899999999,-70.3500581
Bellechasse,46.7960781,-70.7563618
Les Etchemins,46.4026747,-70.5239016
Caniapiscau,54.866667,-69.916667
Montmagny,46.9801031,-70.5565719
Lotbinière,46.6203892,-71.9154667
Administration régionale Kativik,58.1055926,-68.4036854
Pontiac,45.54234599999999,-76.10905199999999
Lac-Saint-Jean-Est,48.5423021,-71.6449464
Les Collines-de-l'Outaouais,45.5037777,-75.7952665
Le Fjord-du-Saguenay,48.4543226,-70.9136508
Vaudreuil-Soulanges,45.4103927,-74.03705819999999
La Vallée-de-la-Gatineau,46.5380311,-76.0438155
Papineau,45.6192843,-75.0190977
Le Domaine-du-Roy,48.9952655,-73.29866539999999
Maria-Chapdelaine,48.8816583,-72.2323096
